date,ensemble,date,account_value,dji
2023-08-23,1017068.8813581164,,,942269.3797363272
2023-08-24,1007454.1899941332,,,932058.6924200079
2023-08-25,1011416.5897261584,,,938823.1086055345
2023-08-28,1013306.4696095352,,,944647.3997079793
2023-08-29,1020154.881202736,,,952647.6986688235
2023-08-30,1019945.6126323624,,,953674.522396705
2023-08-31,1015503.2799938432,,,949073.5150054321
2023-09-01,1018365.956331032,,,952238.7629427357
2023-09-05,1022050.551790413,,,946888.4315499784
2023-09-06,1016784.6003412094,,,941455.1385229733
2023-09-07,1014266.14807267,,,943027.8861065956
2023-09-08,1019681.2262674638,,,945101.3931041479
2023-09-11,1024347.8171530532,,,947482.9365428915
2023-09-12,1017754.3074785536,,,946998.299660199
2023-09-13,1022355.1602523574,,,945072.4579653045
2023-09-14,1028947.7883458632,,,954135.6694987868
2023-09-15,1020586.4955076064,,,946239.7932899306
2023-09-18,1014674.3679637526,,,946405.5030149667
2023-09-19,1013815.1614893416,,,943492.5566757689
2023-09-20,1002097.0137074966,,,941391.9296587843
2023-09-21,997264.5913129196,,,931266.019096124
2023-09-22,992295.1064557724,,,928352.7524417359
2023-09-25,993094.246230278,,,929529.1633634163
2023-09-26,984052.2691478349,,,918923.7409611058
2023-09-27,983327.7492770462,,,917048.4022945245
2023-09-28,985185.2166661453,,,920221.0174812016
2023-09-29,985731.7682558516,,,915879.3586222176
2023-10-02,991599.6697182388,,,913852.6176424269
2023-10-03,977009.791621498,,,902072.5994378468
2023-10-04,985797.4179262312,,,905548.6598813232
2023-10-05,987573.8659853132,,,905275.8581110479
2023-10-06,999946.4498221969,,,913148.1377675633
2023-10-09,1004261.7640680922,,,918534.7715485372
2023-10-10,1003981.4777036362,,,922215.2998550574
2023-10-11,1016047.9653407822,,,924007.5701156604
2023-10-12,1014796.7514055404,,,919258.8974217296
2023-10-13,1008234.8516744308,,,920328.9637002811
2023-10-16,1019367.0699649582,,,928918.5358392659
2023-10-17,1017672.7692815324,,,929276.8617653104
2023-10-18,1010789.5016062546,,,920186.5302123957
2023-10-19,1009506.3270739976,,,913328.368447886
2023-10-20,992912.9201559525,,,905486.6255061647
2023-10-23,997404.3251319808,,,900269.4384607788
2023-10-24,1000831.8291669388,,,905871.9646799117
2023-10-25,1016165.510078087,,,902989.661827238
2023-10-26,991198.2294337387,,,896111.7472926693
2023-10-27,991157.5486840896,,,886088.230819126
2023-10-30,1008078.7021265946,,,900065.8247715753
2023-10-31,1009670.5217751388,,,903452.7308204606
2023-11-01,1027929.9151342544,,,909512.7739028538
2023-11-02,1039515.058955513,,,924942.5701557
2023-11-03,1050305.4404081495,,,931017.2409651097
2023-11-06,1059006.9762518082,,,931961.3166022033
2023-11-07,1066269.146722664,,,933512.2827528955
2023-11-08,1072574.8183212052,,,932409.8646401392
2023-11-09,1063448.8128827896,,,926387.5119784535
2023-11-10,1085169.851363625,,,937079.3127103737
2023-11-13,1078870.9170961075,,,938576.3591373912
2023-11-14,1090610.466885628,,,951965.10699862
